ZipCode,City,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White,Predominant race,Population,Unemployment Rate,Total population of state
49507,GRAND RAPIDS,MI,18.474,12.46266667,10.764,9.536,8.686,30.06666667,17.95666667,24.294,21.706,8.769333332999999,27.49066667,3.017333333,875.8666667000001,108180.0,42858.73333,17.21333333,33.91333333,0.26,0.393333333,1.663333333,97.62666667,White,35459,10.5,9861637
49508,GRAND RAPIDS,MI,16.79,12.47764706,11.96411765,12.25470588,11.86352941,34.47058824,21.63294118,26.1,13.02294118,10.38588235,29.50941176,2.771764706,925.8823528999999,141123.5294,59244.94117999999,17.09411765,28.51176471,0.223333333,0.423333333,2.568333333,97.21833333,White,39148,6.5,9861637
49509,WYOMING,MI,17.796,12.377,12.758,9.985,9.552999999999999,31.1,11.503,31.128,25.034,3.512,28.591,2.734,813.1,105280.0,46955.3,16.79,33.42,0.34,1.0,0.36,96.05,White,26720,6.5,9861637
49510,GRAND RAPIDS,MI,16.99,10.93,12.68,12.39,5.82,30.0,8.69,30.87,27.46,1.48,31.51,4.44,984.0,83100.0,31823.0,15.8,51.0,0.125,0.19,4.755,96.18,White,0,10.5,9861637
49512,GRAND RAPIDS,MI,14.57666667,12.12916667,12.22083333,11.88666667,14.62666667,36.08333333,28.00333333,21.71833333,8.460833333,15.18666667,27.69083333,2.579166667,972.9166667000002,208400.0,67395.0,17.75,29.425,0.154,3.452,2.398,93.16,White,15448,3.3,9861637
49514,GRAND RAPIDS,MI,14.09,9.95,11.36,18.46,21.68,47.0,25.46,22.9,4.54,14.7,31.4,2.61,666.0,159900.0,74522.0,15.5,31.7,0.46,0.683333333,6.503333333,90.06333333,White,0,5.5,9861637
49515,GRAND RAPIDS,MI,21.93,11.45,10.54,11.2,20.82,39.0,27.47,21.72,6.53,12.26,28.9,2.08,1102.0,153700.0,56437.0,17.2,26.3,0.45,0.02,0.0,95.99,White,0,4.9,9861637
49516,GRAND RAPIDS,MI,18.85,9.06,6.2,5.87,6.66,25.0,44.81,8.96,2.33,24.66,21.79,2.26,1114.0,203700.0,74493.0,14.6,22.7,0.0,0.19,4.67,92.86,White,0,6.4,9861637
49518,GRAND RAPIDS,MI,12.94,11.86,12.24,12.43,11.2,34.0,19.72,27.54,19.68,3.95,27.77,2.95,886.0,158400.0,40665.0,18.4,29.8,0.56,0.675,2.425,92.19,White,0,6.5,9861637
49519,WYOMING,MI,18.34857143,12.50428571,11.51142857,11.54571429,14.23142857,35.42857143,18.38,27.9,9.728571429,7.917142857000001,35.09857143,2.632857143,880.2857142999999,148557.1429,57010.57143,16.87142857,27.8,0.143333333,0.526666667,4.706666666999999,94.43,White,27424,5.3,9861637
49525,GRAND RAPIDS,MI,12.70285714,11.06571429,14.29142857,15.07428571,14.46,38.42857143,26.84428571,23.58714286,4.12,17.65285714,28.86714286,2.578333333,983.3333332999998,207983.3333,74656.5,16.36666667,31.06666667,0.285,3.148333333,1.675,93.68,White,27383,4.9,9861637
49534,GRAND RAPIDS,MI,17.89066667,11.21133333,10.804,11.26266667,11.76066667,33.4,20.90266667,27.00133333,12.936,9.437999999999999,30.106,2.634666667,823.6,132286.6667,52747.13333,16.96666667,30.51333333,0.083333333,0.543333333,2.033333333,96.36,White,21570,4.4,9861637
49544,GRAND RAPIDS,MI,15.30857143,11.50142857,13.04571429,13.52285714,13.35857143,38.14285714,20.28857143,29.71714286,9.051428571,6.77,35.32285714,2.5,891.7142857000001,165785.7143,60509.0,15.71428571,25.08571429,0.46,0.77,0.425,95.965,White,8944,2.1,9861637
49546,GRAND RAPIDS,MI,9.799,11.73,13.039,12.642,16.844,38.5,35.232,14.472,4.877,24.771,22.266,2.578888889,1148.333333,271466.6667,86525.22222000001,16.28888889,32.02222222,0.18,0.665,7.585,87.685,White,31880,5.5,9861637
49548,GRAND RAPIDS,MI,16.27461538,13.79230769,12.83923077,11.90384615,10.52615385,34.61538462,15.57076923,31.37076923,15.89769231,6.903076923,31.25,2.764615385,904.2307691999999,116500.0,56508.30768999999,17.04615385,28.5,0.245,1.505,2.2975,93.4,White,30524,5.6,9861637
