Potential,Real,county,Difference
6629.775625517442,5456.999999999999,Harris,1172.7756255174427
2897.712186938924,3157.0,Hart,-259.2878130610761
1451.6070121617001,822.9999999999999,Heard,628.6070121617003
57597.00603533338,73276.0,Henry,-15678.993964666617
23942.66535676573,32149.0,Houston,-8206.33464323427
793.6978020503958,1008.0000000000001,Irwin,-214.3021979496043
10768.946802134094,7642.0,Jackson,3126.9468021340945
3353.4573848107298,1761.0000000000002,Jasper,1592.4573848107295
1312.28054690341,1028.0,Jeff Davis,284.2805469034099
1559.9968137837145,4060.9999999999995,Jefferson,-2501.003186216285
946.7825611178079,1266.0000000000002,Jenkins,-319.21743888219237
653.4184848513185,1222.0,Johnson,-568.5815151486815
4167.500088528666,4888.0,Jones,-720.4999114713337
3050.831963306882,2612.0,Lamar,438.8319633068818
747.7655140211976,1019.0000000000002,Lanier,-271.2344859788026
7164.291298902781,8048.0,Laurens,-883.7087010972191
5261.621727240284,4556.0,Lee,705.6217272402837
4966.214958393264,13051.0,Liberty,-8084.785041606736
1387.5148214781047,1432.0,Lincoln,-44.48517852189525
1950.8218464353718,2033.0,Long,-82.17815356462825
18378.814241549844,19831.999999999996,Lowndes,-1453.1857584501522
7387.925550303822,3122.0,Lumpkin,4265.925550303822
2168.272432409634,2857.0,Macon,-688.7275675903661
3420.8419151955554,3365.0000000000005,Madison,55.841915195554975
1225.7094908111903,1311.0,Marion,-85.29050918880966
3690.6010379343147,4168.0,McDuffie,-477.3989620656853
2214.1073506029484,2612.0,McIntosh,-397.8926493970516
3961.422359281816,4287.0,Meriwether,-325.57764071818383
754.1410820508615,749.0,Miller,5.141082050861542
5058.103270522166,3990.0,Mitchell,1068.103270522166
4819.526540756325,4384.0,Monroe,435.5265407563247
679.2957085253577,976.0,Montgomery,-296.70429147464233
1939.4810940786185,3355.0,Morgan,-1415.5189059213815
2689.7958845108833,2302.0,Murray,387.7958845108833
42661.88970065138,49201.0,Muscogee,-6539.11029934862
24361.382316641728,29781.000000000004,Newton,-5419.617683358276
11146.808985714444,8160.0,Oconee,2986.808985714444
2327.172705247625,2435.0000000000005,Oglethorpe,-107.82729475237556
31557.997906872286,29658.000000000004,Paulding,1899.9979068722823
3908.1996601247124,5920.0,Peach,-2011.8003398752876
3674.853236032771,2808.0,Pickens,866.8532360327708
2120.892065710634,1099.0,Pierce,1021.8920657106341
2911.7579334571305,1502.9999999999998,Pike,1408.7579334571308
5268.105325396221,3658.0000000000005,Polk,1610.1053253962205
769.0543585299075,1217.0000000000002,Pulaski,-447.9456414700927
3807.256201911365,3448.0,Putnam,359.2562019113652
332.598699558638,497.0,Quitman,-164.40130044136203
3787.915000533833,1984.0,Rabun,1803.9150005338329
563.8919303434266,1671.0,Randolph,-1107.1080696565734
47961.06034176992,58776.0,Richmond,-10814.939658230083
20379.9369374623,31199.0,Rockdale,-10819.063062537702
653.9542579053556,462.00000000000006,Schley,191.95425790535552
1346.1122644557008,2660.9999999999995,Screven,-1314.8877355442987
783.1117798832469,1250.9999999999998,Seminole,-467.8882201167529
11596.125955371579,11356.0,Spalding,240.12595537157904
3534.0355489053773,2385.0,Stephens,1149.0355489053773
793.1480950779375,1182.0,Stewart,-388.85190492206254
5966.501201553057,6317.999999999999,Sumter,-351.4987984469417
1180.8743379775358,2113.0,Talbot,-932.1256620224642
192.7383062049787,561.0,Taliaferro,-368.2616937950213
1687.915893582075,2059.0000000000005,Tattnall,-371.08410641792557
1489.5599343626202,1387.0,Taylor,102.5599343626202
1467.4373300037091,1480.0,Telfair,-12.562669996290879
647.8093316442881,2376.0,Terrell,-1728.1906683557118
8661.534308376926,8708.0,Thomas,-46.465691623074235
5562.859028528871,5322.0,Tift,240.85902852887102
2178.9028555846667,2939.0000000000005,Toombs,-760.0971444153338
3306.781768908759,1549.9999999999998,Towns,1756.7817689087594
682.7951305681439,952.0,Treutlen,-269.2048694318561
13180.597073678846,11542.0,Troup,1638.5970736788458
1192.8572272217818,1410.0,Turner,-217.14277277821816
1915.5108482368075,2039.9999999999998,Twiggs,-124.48915176319224
4667.758551680528,2800.9999999999995,Union,1866.7585516805289
3693.669068555636,4201.0,Upson,-507.33093144436407
6723.312411727102,5764.0,Walker,959.3124117271018
21070.064402073032,12609.000000000002,Walton,8461.06440207303
3623.926051562283,4249.0,Ware,-625.0739484377168
1541.005440255874,1488.0,Warren,53.005440255873964
3464.4800903334017,4730.0,Washington,-1265.5199096665983
2503.3959884946767,2687.0000000000005,Wayne,-183.6040115053238
383.21932260083895,639.0,Webster,-255.78067739916105
557.640325372683,687.9999999999999,Wheeler,-130.35967462731685
4021.526894800688,2411.0,White,1610.5268948006878
6947.903895450526,10670.0,Whitfield,-3722.096104549474
895.7640894240152,861.9999999999999,Wilcox,33.76408942401531
1496.2154514926267,2159.0,Wilkes,-662.7845485073733
1234.5785753622426,2075.0,Wilkinson,-840.4214246377574
2200.5481846186763,2395.0,Worth,-194.45181538132374
