,REP,DEM,Registerd,county_name,State,% age 25-34,% age 35-44,% age 45-54,% age 55-64,% age 65 or older,Median age ,% Bachelor's,% HS diploma,% less than HS diploma,% post grad,% college,Average HH size,Median gross rent,Median value of an owner-occupied home,Median HH income,Median owner cost burden,Median renter cost burden,% Asian,% Black,% Hispanic,% White
1060,0.660742830277386,0.339257169722614,10635,Grady,GA,11.572777776666667,10.833888889999999,15.418333333333335,13.887777776666667,18.100555556666666,42.916666666666664,7.831388889,37.2875,20.33722222333333,5.260000000000001,29.575555556666668,2.7622222223333335,714.4722222333334,113283.33333333333,43071.555556666666,17.041666666666668,29.01388889,0.24277777766666664,1.7433333333333334,1.0066666666666666,96.84166666666665
1105,0.6335604159196845,0.3664395840803155,11156,Greene,GA,11.547714285,10.878285714250001,12.278714285,14.337,23.393,42.3928571425,7.805214285,40.1768571425,24.344,7.3833571424999995,20.388714285,2.8395714284999998,718.8285714250001,124993.571425,39561.5928575,18.1314285725,34.045714285,0.6773750000000001,30.26875,2.405125,66.710875
1140,0.4077454341824755,0.5922545658175244,407156,Gwinnett,GA,13.256761505,14.680280591250003,15.026783743125,11.391689794375,9.85308173325,36.298095440625,23.363916769375,23.194128550625,12.332541302875,12.2195351845625,29.214457132500005,3.0575516661249993,1342.0124966249998,208546.61188125,73988.68882125,19.207947781249995,30.249198344999996,10.8285592845625,20.67469345775,10.297835310625002,62.483179283125004
1142,0.8235935563816604,0.17640644361833954,20175,Habersham,GA,10.743785714200001,12.363242857999998,12.6595,12.387571428000001,19.035500000000003,40.412857142,10.183357142,33.7248,22.430685714,8.237871428,25.429414286000004,2.7965714286,751.99,147020.71428000001,47952.152858,17.373285714,26.986142858,1.8051333334,12.272533334,9.236866666000001,82.20739999999999
1148,0.7194159830316361,0.2805840169683639,89107,Hall,GA,12.604481384999998,12.979080448000001,13.597380664000003,12.0968100294,14.960898989,38.00868686700001,13.3968394661,29.996843000999995,21.3764557,7.6246181096,27.553667749000006,2.9225151516,1004.819632,173320.02453,58073.70284900001,16.88979798,28.440688314,0.9287500000000002,12.1505,7.177266666700001,83.32198333299999
1168,0.2796814671814672,0.7203185328185329,4144,Hancock,GA,10.14,11.15,15.275,15.7175,21.8125,44.75,9.915,36.48,21.3175,5.5725,28.33,2.8375,766.75,88875.0,45079.75,16.9,32.675,0.5066666670000001,16.82333333,1.193333333,79.38
1182,0.8730698399206687,0.12693016007933136,14118,Haralson,GA,12.419047617499999,12.654226192500001,14.403511904999998,12.548214285,14.65702381,39.083333332500004,8.5091666665,36.878988095,21.268988095,5.519047619249999,28.3104166675,2.549702381,740.8511904750001,117112.499975,49276.09524,16.7125,28.590476192500002,1.4153846154999998,14.231346154999999,12.264999999999999,77.6640384625
1203,0.7240594660194175,0.27594053398058255,19776,Harris,GA,10.435270833375,12.43691666625,14.372666666250002,14.779749999999996,18.39697916625,43.0375,16.27383333375,26.62477083375,12.196625,10.877104166625001,34.97845833375,2.816416666625,975.2958333375,178910.625,67361.12708375,17.700416666250003,30.182083333749997,0.851413690375,13.6038363095,4.31704464275,82.8020729175
1214,0.7498613422074321,0.25013865779256794,12621,Hart,GA,11.63625,10.1116666665,13.751666665,15.26125,23.103749999999998,44.916666665,10.934166665,35.937916665,18.044583335,5.50375,31.109583335,2.7729166665,726.4583333500001,132366.66665,46084.666665,16.633333335000003,26.920833335,0.82375,1.98625,5.307499999999999,93.88874999999999
1228,0.8458224053952791,0.15417759460472086,5338,Heard,GA,11.454,12.665999999999999,15.235999999999999,13.644,16.066,41.2,8.57,42.24,15.568,5.734,26.965999999999998,2.734,749.4,123720.0,54216.8,17.96,24.34,4.2575,18.51,11.6175,72.245
1241,0.3967216353951409,0.6032783646048591,121463,Henry,GA,12.3698617425,14.056170455000002,15.5626325775,11.405873105,12.0875852275,36.5950757575,15.835749999999999,33.944873105,10.8693958325,8.82709091,30.3103503775,2.850534091,1195.71382575,161234.772725,66432.09393999999,18.7145075775,29.6345833325,2.190735029,71.50489087,4.14525072125,22.921248195500002
1292,0.5632938044201747,0.4367061955798253,73617,Houston,GA,13.945028045,12.890172275000001,13.181911057499999,11.518237179999998,12.2654607375,35.515224358750004,15.293810096249999,29.71084936,9.844675481125,9.24385016125,36.26620993625,2.7989535985000003,930.6780302125001,128877.79356875,60232.034092500005,16.001799242500002,27.360132574999998,1.9237339745,28.53341346125,2.963333333375,66.43871794875
1346,0.7566393046837276,0.24336069531627233,4142,Irwin,GA,11.569166665000001,12.181666665,13.60125,11.86375,18.7675,40.958333335,8.76375,39.160833335,18.411250000000003,5.317500000000001,29.833333335,2.6258333335,567.5416666499999,80325.0,38550.833335,16.125,25.5375,0.842261905,14.787380950500001,3.5691666665,80.54642856999999
1360,0.7942324779880988,0.20576752201190124,37139,Jackson,GA,12.083031745714285,13.333222222857144,14.271726189999999,12.544289681428571,14.375472222857143,38.54484127,12.175333333285716,33.97967857142857,20.48449603142857,6.312666667,27.40232142857143,2.8736071428571432,876.7861111142856,165239.00792857143,60450.99960142857,16.508373015714287,28.598214285714285,1.8082261904285715,14.035785714285717,3.989630952428572,80.72402380999999
1381,0.7677700118686536,0.23222998813134643,7583,Jasper,GA,10.68,12.138333333333334,13.4225,14.701666666666668,15.176666666666668,40.666666666666664,7.239166666666667,39.060833333333335,21.698333333333334,4.226666666666667,28.111666666666665,2.7525,876.9166666666666,117733.33333333333,45954.0,19.258333333333333,29.383333333333336,0.03166666666666667,51.80888889,5.653888889,44.54777777666667
1390,0.8203739297571204,0.1796260702428796,5723,Jeff Davis,GA,10.9545,12.3185,12.29,15.275,17.136,41.45,6.828,39.4195,22.673499999999997,5.116,26.21,2.6035000000000004,520.0,72465.0,40881.25,15.655000000000001,18.835,0.49249999999999994,24.060833334999998,10.6716666665,68.429166665
1396,0.46551724137931033,0.5344827586206896,7598,Jefferson,GA,12.617357142857143,11.315238095714287,13.49945238142857,13.590880952857145,17.098095238571428,39.00952380857143,7.861023809571429,41.562,25.179928571428572,3.1292380951428576,22.570500000000003,2.7847619048571426,559.4976190428572,73825.47619,37146.91428571429,15.497619048571428,29.419285714285714,1.0424761904285715,19.412690476142853,5.29250340142857,76.58903741428573
1420,0.630580682812956,0.36941931718704407,3427,Jenkins,GA,10.06142857,10.427857145,14.298571429999999,15.705,17.049285715,41.5,6.0192857145000005,42.72142857,20.32642857,4.072857143,27.22357143,2.7157142855,565.9285714499999,72578.57143000001,32529.857144999998,16.607142855,29.364285715,0.583125,11.678541665000001,4.123125,85.52875
1431,0.699901768172888,0.300098231827112,4072,Johnson,GA,12.85775,13.01875,13.5595,12.479,16.756999999999998,39.825,5.97,43.85900000000001,23.064749999999997,3.811,23.32,2.5797499999999998,586.875,68960.0,39039.55,14.915,29.14,3.7275,13.95375,6.123749999999999,76.76375
1444,0.6709082340267959,0.32909176597320405,14853,Jones,GA,10.122499999999999,11.45875,14.09025,13.7195,14.911000000000001,37.075,12.55425,36.432,13.3585,7.70025,29.810499999999998,2.80125,803.625,122975.0,51034.0,17.0,37.705,0.77,35.645,1.9512500000000002,61.83625
1565,0.7076337586747258,0.2923662413252742,8934,Lamar,GA,11.505277776666667,11.832500000000001,12.93388889,15.039444443333332,17.284166666666668,41.083333333333336,10.428888889999998,37.09083333333333,14.977222223333333,6.314444444333333,30.40611111,2.6077777776666666,689.8888889,134858.33333333334,47556.63889,18.025,27.686111110000002,3.168842592666666,31.536342593333334,4.059120370333333,62.35513889
1579,0.7111678004535147,0.28883219954648526,3528,Lanier,GA,12.819166665000001,12.536666665,14.84333333,12.915,16.775833335,39.5,8.898333333,36.065,22.768333335,4.375,27.933333335,2.9241666664999997,550.4166666499999,80266.666665,36777.75,16.433333335,26.075000000000003,0.547,34.635,5.521,60.248
1592,0.6427398233231234,0.35726017667687665,22527,Laurens,GA,11.469259257777779,12.285537036666666,12.869703704444444,13.585777777777778,17.30798148111111,40.30925926,7.6196111111111104,45.35531481333334,17.940074073333335,5.650388889000001,23.607574074444443,2.599703703777778,622.9574074222223,80249.07407444443,38476.63518333333,14.700000001111114,29.616296295555554,0.623014705888889,39.46156772,3.2978533043333336,56.928149420000004
1615,0.7247795094841126,0.2752204905158874,16554,Lee,GA,12.274583334999999,13.03875,13.451250000000002,13.559999999999999,15.95375,39.875,13.149583334999999,32.182500000000005,14.760833335000001,8.515,31.900416665,2.5983333335,785.0,126395.83335,50550.916665,16.045833334999998,35.429166665,1.6465,38.178833335,5.1341666665000005,55.312333335000005
1645,0.37837580376280067,0.6216241962371993,20995,Liberty,GA,16.7648076925,11.182355770000001,11.34855769225,12.40201923075,12.298413461500001,34.64423077,12.083509615,32.8425480775,11.71730769225,5.834471153749999,36.08889423,2.87114583325,946.5833333249999,120608.333325,49149.9375,18.19375,28.978125,0.6104166667500001,23.805583335,8.825249999999999,71.1858333325
1653,0.6891686563924463,0.3108313436075537,4607,Lincoln,GA,9.5875,11.9175,12.14,16.04,22.76,45.5,8.7175,41.875,17.5225,6.105,25.63,2.405,740.75,105200.0,38888.5,18.825,31.425,1.258333333,22.65833333,6.42,71.63666667
1700,0.6344182700953066,0.3655817299046934,5561,Long,GA,18.3375,12.3925,8.61,6.9725,5.7225,27.75,14.1125,32.4975,9.075,5.78,38.41,2.336666667,885.3333332999997,124833.3333,53462.66667,17.73333333,31.03333333,0.21,15.535,5.74,84.225
1712,0.5627094725701182,0.43729052742988184,45352,Lowndes,GA,14.540052909999998,11.235648147777777,11.166079365222222,11.526875661111113,11.695074073333334,32.371164022222224,14.642095237444446,28.470230158888885,15.33441005222222,8.781955026444443,32.09407142777778,2.742486772555555,805.6190476222223,127835.97883333333,47297.22354555556,17.17936507888889,31.440476192222224,0.451074074,27.805545415222223,4.320228836000001,68.30332098888888
1718,0.7957073681455307,0.2042926318544693,15282,Lumpkin,GA,10.595,11.043,12.06,14.272,20.529,41.5,17.535,27.872,12.909,11.360999999999999,30.198,2.56,1191.25,193137.5,61922.125,16.4375,28.05,7.886666667,22.07533333,6.256,66.81733333
1734,0.38426724137931034,0.6157327586206897,4640,Macon,GA,9.61375,12.6685416675,13.973958332499999,15.149999999999999,18.431874999999998,42.395833332500004,5.6058333332500005,34.6514583325,25.406875,3.1708333332499996,30.29375,2.59729166675,573.270833325,71539.5833325,31683.3541675,17.2270833325,32.575,3.9690624999999997,37.34453125,2.8534375,55.11796875
1744,0.7681069533457378,0.23189304665426227,14511,Madison,GA,11.93675,12.481342858,14.028978572,14.256621427999999,16.139300000000002,40.622857142,9.122257142799999,38.097478572,20.661257142,6.473121428600001,25.699771428000002,2.4365428572,694.7635714200001,120712.35714000001,48171.052142,15.357785713999998,27.900357142,0.8350952380000001,2.2619999999999996,6.697142858000001,92.36252380799999
1780,0.6344116006692694,0.3655883993307306,3586,Marion,GA,10.436722222333334,10.899111110000002,14.621222223333334,15.31938889,18.94211111,43.277777776666674,8.606055555666666,36.696111110000004,19.66461111,5.852555555666666,28.5005,2.4682222223333334,659.4333333333333,104006.11111,44970.72777666667,18.980555556666665,27.52555555666667,6.886666666666667,18.833333333333332,5.45,71.71833333333333
1842,0.5967882364322338,0.4032117635677663,10337,McDuffie,GA,12.553958335,11.615416665000001,12.41875,13.430625,16.113541665,38.270833335,8.8754166665,39.330625,18.810416664999998,5.2497916665,26.580208335000002,2.6608333335,720.7291666499999,110245.83335,40393.354165,17.8125,32.56875,0.0755,36.949,1.6102500000000002,60.93599999999999
1845,0.6059143029571514,0.3940856970428485,6628,McIntosh,GA,11.911,8.440333333999998,13.957333332000001,16.310333334,24.124333332,47.433333334,6.6086666666,36.010666668,18.540333334000003,5.7446666666,32.499333334,2.6159999999999997,874.96666666,116906.66666000002,48747.1,17.953333332,32.29,0.9331428572,19.479342858000003,5.8608666666,76.018676192
1890,0.6034594394598094,0.39654056054019055,10811,Meriwether,GA,11.469583333333333,11.109166666666667,13.493055555000003,15.018750000000002,19.624722221666666,42.90277777833333,8.787361111166666,38.234722221666665,20.850416666666668,5.085138888833334,27.751666666666665,2.5405555556666664,752.5972222166666,108862.499995,40342.638888333335,17.740277778333333,32.34722222166667,5.632599206166667,26.622876982833336,5.017440476166667,64.73136904833333
1910,0.7339253996447602,0.2660746003552398,2815,Miller,GA,11.010714285,10.6375,14.445,13.764642855,22.933392855,44.214285715,8.215714285499999,37.078035715,17.973214285,5.2394642855,31.57267857,2.74,604.5178571499999,88008.92856999999,37768.446429999996,17.717857145,28.201785715,0.7274999999999999,1.1,2.1225,97.4925
1927,0.5528409727670066,0.4471590272329934,8923,Mitchell,GA,10.77165476075,11.148773810000002,13.7165476175,13.15222619,17.342940475,40.15952381,6.24648809525,36.962011905,23.315285714999998,4.87646428575,27.997321427499998,2.6609285715,621.778571425,89666.190475,34670.610715,19.530714285000002,28.7271428575,1.137625,43.41719318249999,5.354329545,51.5181818175
1945,0.7161357161357161,0.28386428386428386,15444,Monroe,GA,11.156249999000002,12.282361113333332,13.547916666666666,15.026944443333333,16.257777776666668,40.26388889,12.319444443333333,38.09583333333333,16.828472223333332,7.647083333333334,26.752916666666664,2.712361111,802.4166666666666,141123.6111,54404.90277666666,17.075,28.50972222,2.591904762,36.73428571333333,3.439523809666667,58.81857143
1965,0.7519695044472681,0.2480304955527319,3935,Montgomery,GA,11.207500000000001,11.141868686666667,13.586641415,14.092500000000001,17.764898988333336,42.116161616666666,8.319267676666668,39.07252525166667,18.61694444333333,6.006742424333333,27.88361111,2.6728787878333335,654.25252525,82263.88888833333,43015.275251666666,14.555050503333332,28.01010101,2.1142407408333335,6.235092592666667,17.145685185333335,85.74187037
1992,0.7103513770180437,0.2896486229819563,11583,Morgan,GA,11.022972221666668,10.863999999999999,16.716694444999998,13.350194445,18.211708333333334,44.447222221666664,11.564819445,38.018902778333334,14.368722221666667,7.045138888833333,28.596666666666664,2.700791666666667,849.7597222166665,185645.55555000002,59923.763888333335,17.138194445,26.40597222166667,0.8316137566666667,10.520489417333332,15.204391534333334,83.99427248666667
2016,0.8489996720236143,0.1510003279763857,15245,Murray,GA,14.1473958325,12.6814583325,14.595729167500002,12.1971875,14.7127083325,39.583333332500004,4.711145833250001,38.1027083325,32.2490625,4.3442708332499995,21.696354167499997,2.5041666667499998,701.947916675,92956.25,47306.7083325,14.5604166675,26.9625,0.6400416667500001,40.38775,3.96975,55.3025
2020,0.37838281743524954,0.6216171825647505,79150,Muscogee,GA,15.32878152,12.32096739625,12.616910038750001,11.813397997500001,12.507136363625,35.11141774875,16.586658820000004,26.68001988625,13.65000446375,9.353088203874998,33.98662391875,2.6538360390000006,879.9788871125002,149236.46914125,49646.93274624999,19.4656340175,30.616713563749997,2.8180963481249997,13.220976107750001,8.118727660874999,78.51652583625
2058,0.4448814494482553,0.5551185505517447,53648,Newton,GA,11.533412588,14.263430070000002,13.921377622,12.023727271999999,13.452010490000001,37.808391608,11.620772728,32.873951047999995,17.727646854,6.952587412599999,30.136993008,2.7674370628,972.6454546000001,135967.02797999998,52273.98077,18.409405594,30.828076923999998,2.284,16.333333334,19.535888888,69.684444444
2100,0.6703563060515473,0.3296436939484528,24754,Oconee,GA,10.615198413666667,13.0659127,15.18781746,13.767420633333332,15.60531746,40.726190476666666,19.68130952333333,25.22186508,10.493095238,19.35575396666667,26.451230156666668,2.8319841269999997,959.4285714333333,226771.8254,75543.59523666666,16.90357143,25.618253966666668,2.8463939393333333,8.024757576666667,36.400818181666665,83.05609091000001
2106,0.6966110142038375,0.30338898579616247,8026,Oglethorpe,GA,10.661666666,13.527333334,14.171333334,15.195333334,17.188333332,42.433333332000004,9.9249999994,38.397,19.138333331999995,7.314666667199999,25.182333334,2.747,743.7333333199999,122723.33332,49517.966666,16.453333334,27.353333332,1.0883333334,9.1978333334,4.7936333334,86.782733334
2191,0.6474238569628379,0.35257614303716206,84118,Paulding,GA,12.923806193333334,14.314975023333332,15.749860140000001,11.793663003333334,10.595899100000002,36.64552114333333,16.466143856666665,32.59034965,10.059240760666668,8.433391608666666,32.40645687666666,2.816391941333333,1131.560606,174540.59273333332,69915.29320666665,17.9985348,28.208125206666665,2.568055555666666,20.824873014666665,6.004992063333334,72.21196032
2198,0.5234261793592014,0.47657382064079856,12422,Peach,GA,12.59222222,11.911666664999998,14.226722220000001,14.48638889,13.704166664999999,38.66111111,13.203833334999999,29.492222220000002,13.609555555,9.473388888999999,33.75772222,2.7210555555,833.7111111000002,127235.0,53286.627779999995,17.468333335,29.58722222,0.53,37.201666665,9.1133333335,59.665000000000006
2241,0.8336788485458746,0.16632115145412546,16883,Pickens,GA,10.279513889250001,10.63239583425,13.909409722500001,15.5574305575,21.344375,45.26388889,14.199513889999999,30.434513889999998,15.1030902775,8.953159722999999,29.053993055,2.645173611,850.3923610999999,194814.2361,63377.7083325,17.407638887500003,23.02048611,1.01368181825,36.7063181825,4.812636363749999,58.2708636375
2244,0.877861747054901,0.1221382529450989,8998,Pierce,GA,11.0747083325,13.886875,13.101500000000001,13.815583332500001,16.561999999999998,38.325,5.9069583332499995,41.3742916675,21.1804583325,6.23566666675,25.2362916675,2.95408333325,618.491666675,88082.0833325,43878.9625,15.6475,36.8758333325,0.14589285725,55.8673214275,7.2789285715,37.3926785725
2251,0.8585677990025407,0.1414322009974593,10627,Pike,GA,11.663666666000001,12.434833332,15.703999999999999,13.868833333999998,15.774333332000001,41.516666666000006,9.0215,40.8915,13.448999999999998,5.6205,29.118000000000002,2.5761666668,793.31666668,136923.33332,52912.816668,18.015,29.235000000000003,3.7338508773999997,37.790557016,8.2359719298,54.48992544
2285,0.787905142923407,0.21209485707659304,17247,Polk,GA,12.556083333333333,12.270000000000001,13.960999999999999,13.203166666666666,15.295,38.88333333333333,8.552333333333333,38.08316666666667,20.605166666666666,5.771333333333334,26.680916666666665,2.56425,740.125,119115.83333333333,49213.39166666666,17.32,32.25000000000001,1.215,19.976111110999998,3.965,75.35000000000001
2337,0.6974142217802088,0.30258577821979116,4022,Pulaski,GA,12.09166667,13.99,13.565,12.55166667,18.28833333,40.66666667,10.71166667,35.38833333,17.00666667,6.698333333,29.875,2.458333333,626.0,117683.3333,45839.16667,14.61666667,25.28333333,0.0,39.25,4.37,59.255
2345,0.7062782179061249,0.2937217820938751,11739,Putnam,GA,11.59,10.51666667,13.58666667,15.08,21.48333333,45.83333333,12.31666667,37.37666667,16.71333333,6.48,27.645,2.523333333,735.8333332999998,159833.3333,48576.83333,17.8,27.05,2.4419999999999997,44.568000000000005,1.768,50.458
2356,0.5485921889191644,0.4514078110808356,1101,Quitman,GA,17.48666667,11.83333333,11.23333333,14.04666667,19.79666667,44.0,5.98,39.73333333,27.96333333,3.873333333,22.34666667,2.6766666669999997,512.0,59866.66667000001,27743.0,18.33333333,39.96666667,1.82,3.505,4.99,88.83
2358,0.7902304927045887,0.2097695072954113,9458,Rabun,GA,10.0225,11.599583333750001,12.38875,14.835625,25.657083333750002,48.6875,14.8210416675,32.1075,16.33333333375,11.5725,25.48666666625,2.367291666625,736.520833325,177254.166675,42005.83333375,16.8125,35.23333333375,2.129112103125,22.31675099175,4.0623511905,72.71673611125
2369,0.4542782495101241,0.5457217504898759,3062,Randolph,GA,11.207222223333334,12.758888890000001,11.030000001,14.03111111,20.997777780000003,43.38888889,6.168888888999999,37.27111111,24.170555556666667,4.876666666666667,27.71222222333333,2.5433333333333334,506.6666666666666,67888.88889,31210.166666666668,17.622222219999998,26.544444443333333,1.2871666666666668,1.9645,3.0195833333333333,94.24566666666668
2409,0.3124246926289438,0.6875753073710562,85483,Richmond,GA,15.65707081888889,10.894083301444446,12.502172296666666,13.534455297777777,13.611858295555557,37.07791344444445,11.667413648333332,31.242458619999997,18.98887810222222,6.942554402444444,30.78012739111111,2.680538054555556,821.0940853333334,104615.18205999999,37986.41117000001,18.33433385777778,35.02859270444444,1.1630555555555557,32.67403703666667,2.276944444444444,64.30440740666667
